feature_id,ui_feature,ui_trigger,protocol_message,backend_service_rules,storage_state,status,evidence_refs
F-01,Login side panel,"ConsoleLogin tombol power","auth-client.login (tanpa sendMessage)","auth-store + optional server auth","browser.storage.session/local",Connected,"components/sidepanel/ConsoleLogin.tsx|lib/api/auth-client.ts|lib/api/auth-store.ts"
F-02,Boot fetch patient context,"mount main.tsx","scanMedicalHistory;scanVisitHistory;scanClinicalContext;getPatientInfo(tab)","background router + content scanner","React state patientData/clinicalContext",Connected,"entrypoints/sidepanel/main.tsx|entrypoints/background.ts|entrypoints/content.ts"
F-03,VS Inference AutoComplete+,"tombol AutoComplete+","lokal(no message);canonical via bridge API","canonical-triage-builder + bridge evaluate","local form/output state",Connected,"components/clinical/TTVInferenceUI.tsx|lib/api/bridge-client.ts"
F-04,Forward to Doctor,"tombol Forward to Doctor","bridge API call /api/doctors/online;/api/consult","bridge-client outbound consult","doctor picker state",Connected,"components/clinical/TTVInferenceUI.tsx|lib/api/bridge-client.ts"
F-05,Clinical Trajectory,"tab ClinicalTrajectory","scanVisitHistory","trajectory analyzer lokal + canonical evaluate","prefetched visit history + trajectory state","Connected (fallback aware)","components/clinical/ClinicalTrajectory.tsx"
F-06,Differential Diagnosis,"tab ClinicalDifferential","getSuggestions;getRecommendations;resolveTenagaMedis","SentraAPI + canonical differential","diagnosis/therapy/transfer state",Connected,"components/clinical/ClinicalDifferential.tsx|entrypoints/background.ts"
F-07,RME Uplink stepwise,"Auto Fill RME/Uplink step","transferRME;cancelRMETransfer;RME_TRANSFER_PROGRESS","transfer-orchestrator + fill handlers","transfer run steps/reason codes",Connected,"components/clinical/ClinicalDifferential.tsx|lib/rme/transfer-orchestrator.ts|entrypoints/background.ts"
F-08,Dashboard assist mode selector,"toggle Clinical/Diagnostic/Therapy","none","none","activeAssist local state","UI-only","components/sidepanel/DashboardView.tsx"
F-09,Settings feature toggles,"toggle SettingsConsole","none","none terhubung ke runtime bridge/auth flags","localStorage sentra-assist:settings","UI-only","components/clinical/SettingsConsole.tsx"
F-10,Bridge polling control,"expected from bridge toggle","none from UI","startBridgePoller;isBridgeReady;getBridgeConfig","sentra:bridge-config","Logic-only (no UI binding)","lib/api/bridge-poller.ts|lib/api/bridge-client.ts"
F-11,Protocol encounterUpdated,"tidak ada trigger UI","encounterUpdated dideklarasi ProtocolMap","tidak ada onMessage handler aktif","n/a","Logic-only/dead contract","utils/messaging.ts|entrypoints/background.ts"
F-12,Protocol updateEncounter path,"tidak ada sender aktif","updateEncounter dideklarasi ProtocolMap","update internal storage di background","utils/storage.ts","Inconsistent contract","utils/messaging.ts|entrypoints/background.ts|utils/storage.ts"
F-13,Engine tabs extended,"type union sentratype/movi/uplink","tidak ada tab trigger UI","section mapping ada","activeEngine state","Logic-only branch","entrypoints/sidepanel/main.tsx|components/sidepanel/SidePanelHeader.tsx"
F-14,CDSS widget status tools,"komponen tidak dirender side panel","getCDSSStatus;getSuggestions","handler tersedia","n/a","Logic-only (unmounted)","components/cdss/CDSSWidget.tsx|components/cdss/index.ts"
